Winkel;Force left;Force right;Total press force;Kanal LENKIMAS DS;Kanal LENKIMAS OS;Kanal TARP PUANSONU;Kanal ROUND PUNCH;OS DOUBLE;DS DOUBLE;PLOTIS OS;SLIDE
0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,122;0,183;1999,939;0,244
0,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,122;1999,939;0,183
0,200;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,122;0,122;1999,939;0,061
0,300;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,061;0,061;1999,939;0,183
0,400;0,000;0,000;0,000;0,000;22,000;-22,000;-7,872;0,061;0,183;1999,939;0,305
0,500;0,000;0,000;0,000;0,000;22,000;-22,000;-14,128;0,061;0,183;1999,939;0,244
0,600;0,000;0,000;0,000;0,000;22,000;-22,000;0,000;0,000;0,122;1999,939;0,183
0,700;0,000;0,000;0,000;0,000;22,000;-22,000;-7,872;0,061;0,183;1999,939;0,305
0,800;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;-0,061;0,244;1999,939;0,183
0,900;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,061;0,183;1999,939;0,244
1,000;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,183;1999,939;0,122
1,100;0,000;0,000;0,000;0,000;22,000;-22,000;-14,128;0,061;0,183;1999,939;0,183
1,200;0,000;0,000;0,000;0,000;22,000;-22,000;-7,872;0,000;0,183;1999,939;0,305
1,300;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,183;1999,939;0,183
1,400;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,122;1999,939;0,183
1,500;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,122;1999,939;0,183
1,600;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,061;0,122;1999,939;0,183
1,700;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,122;1999,939;0,183
1,800;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,244;1999,939;0,122
1,900;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,183;0,122;1999,939;0,244
2,000;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,183;1999,939;0,122
2,100;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,061;1999,939;0,183
2,200;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,122;0,183;1999,939;0,183
2,300;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;-0,061;0,183;1999,939;0,183
2,400;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,122;0,183;1999,939;0,183
2,500;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,183;1999,939;0,122
2,600;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,122;1999,939;0,122
2,700;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,061;0,183;1999,939;0,183
2,800;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,061;0,122;1999,939;0,122
2,900;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;-0,122;0,183;1999,939;0,122
3,000;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,061;0,183;1999,939;0,183
3,100;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,183;0,183;1999,939;0,183
3,200;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;-0,061;0,183;1999,939;0,244
3,300;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,183;1999,939;0,183
3,400;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,244;1999,939;0,061
3,500;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,305;1999,939;0,183
3,600;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,183;1999,939;0,183
3,700;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,183;1999,939;0,122
3,800;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,000;0,244;1999,939;0,122
3,900;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;-0,061;0,183;1999,939;0,122
4,000;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,061;0,183;1999,939;0,183
4,100;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,122;0,183;1999,939;0,183
4,200;0,000;0,000;0,000;0,000;22,000;-22,000;-22,000;0,061;0,061;1999,939;0,183
